,mean reward,Rejection Type 1 Probability,method
843,141670,80.0,Supervisory
844,172880,80.0,Supervisory
845,-940,80.0,Supervisory
846,47060,80.0,Supervisory
847,161910,80.0,Supervisory
848,106030,80.0,Supervisory
849,66940,80.0,Supervisory
850,115970,90.0,Supervisory
851,-135240,90.0,Supervisory
852,-201540,90.0,Supervisory
853,-54090,90.0,Supervisory
854,17000,90.0,Supervisory
855,48090,90.0,Supervisory
856,-5060,90.0,Supervisory
857,-3000,90.0,Supervisory
858,-29420,90.0,Supervisory
859,-49300,90.0,Supervisory
860,-55120,90.0,Supervisory
861,-3000,90.0,Supervisory
862,8640,90.0,Supervisory
863,-46210,90.0,Supervisory
864,-1300,90.0,Supervisory
865,-8150,90.0,Supervisory
866,109120,90.0,Supervisory
867,-84150,90.0,Supervisory
868,-35120,90.0,Supervisory
869,55970,90.0,Supervisory
870,4880,90.0,Supervisory
871,13790,90.0,Supervisory
872,12760,90.0,Supervisory
873,-7120,90.0,Supervisory
874,-56150,90.0,Supervisory
875,54940,90.0,Supervisory
876,-32030,90.0,Supervisory
877,105000,90.0,Supervisory
878,97120,90.0,Supervisory
879,-93060,90.0,Supervisory
880,2820,90.0,Supervisory
881,77120,90.0,Supervisory
882,-57180,90.0,Supervisory
883,2820,90.0,Supervisory
884,-47120,90.0,Supervisory
885,41910,90.0,Supervisory
886,57000,90.0,Supervisory
887,-89300,90.0,Supervisory
888,-86330,90.0,Supervisory
889,-184270,90.0,Supervisory
890,-100390,90.0,Supervisory
891,115970,90.0,Supervisory
892,-10210,90.0,Supervisory
893,-4030,90.0,Supervisory
894,106030,90.0,Supervisory
895,-155240,90.0,Supervisory
896,13910,90.0,Supervisory
897,109120,90.0,Supervisory
898,148880,90.0,Supervisory
899,-5060,90.0,Supervisory
