,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,0,45,0,455
1,20.0,0,46,0,454
2,30.0,0,55,0,445
3,40.0,0,51,0,449
4,50.0,0,47,0,453
5,60.0,0,52,0,448
6,70.0,0,52,0,448
7,80.0,0,53,0,447
8,90.0,0,51,0,449
